DMY;DMY2;Family;Harvest;ID;Group;Days;Season
4861.838846;4967.32975;42F;3;F925;4;96;Spring
3270.972176;3326.567933;43F;3;F926;5;96;Spring
3007.247523;3021.813778;44F;3;F927;6;96;Spring
4086.593007;3952.66371;46F;3;F929;3;96;Spring
2563.662918;2742.881689;47F;3;F930;1;96;Spring
2544.503283;2609.576354;48F;3;F931;6;96;Spring
3509.469427;3582.689231;49F;3;F932;3;96;Spring
2637.450466;2770.348392;50F;3;F933;4;96;Spring
2948.819452;3259.146171;51F;3;F934;5;96;Spring
3423.750723;3373.477928;52F;3;F935;2;96;Spring
2340.63049;2405.097899;53F;3;F936;1;96;Spring
3649.948674;3592.29528;54F;3;F937;6;96;Spring
3491.593852;3607.907193;55F;3;F938;4;96;Spring
2718.603616;2829.625512;56F;3;F939;2;96;Spring
2861.863066;3128.443409;57F;3;F940;6;96;Spring
3552.284801;3757.996417;58F;3;F941;4;96;Spring
2104.270849;2108.638777;59F;3;F942;5;96;Spring
3022.028822;3251.211945;60F;3;F943;2;96;Spring
2824.332628;3093.179309;61F;3;F944;1;96;Spring
2106.200396;2108.939531;62F;3;F945;3;96;Spring
2093.770046;2131.131242;63F;3;F946;1;96;Spring
2185.381939;2010.422843;64F;3;F947;3;96;Spring
2958.264974;2968.580164;65F;3;F948;4;96;Spring
3234.088687;3158.822659;66F;3;F949;2;96;Spring
3108.15048;3064.252792;67F;3;F950;6;96;Spring
2093.809333;2140.242319;68F;3;F951;1;96;Spring
3100.468421;3087.002354;69F;3;F952;6;96;Spring
2691.989337;2913.486656;70F;3;F953;4;96;Spring
3477.179835;3405.005666;71F;3;F954;5;96;Spring
